1594250104 INTERNAL *** MONITORD_STARTED ***
1594250102 INTERNAL *** DAGMAN_STARTED 8.0 ***
1594250106 create_dir_workflow3_0_local SUBMIT 9.0 local - 1
1594250107 create_dir_workflow3_0_local EXECUTE 9.0 local - 1
1594250109 create_dir_workflow3_0_local JOB_TERMINATED 9.0 local - 1
1594250111 create_dir_workflow3_0_local JOB_SUCCESS 0 local - 1
1594250111 create_dir_workflow3_0_local POST_SCRIPT_STARTED 9.0 local - 1
1594250111 create_dir_workflow3_0_local POST_SCRIPT_TERMINATED 9.0 local - 1
1594250116 create_dir_workflow3_0_local POST_SCRIPT_SUCCESS 0 local - 1
1594250121 stage_in_local_local_0_0 SUBMIT 10.0 local - 2
1594250121 stage_in_local_local_1_0 SUBMIT 11.0 local - 3
1594250124 stage_in_local_local_0_0 EXECUTE 10.0 local - 2
1594250124 stage_in_local_local_1_0 EXECUTE 11.0 local - 3
1594250127 stage_in_local_local_1_0 JOB_TERMINATED 11.0 local - 3
1594250131 stage_in_local_local_1_0 JOB_SUCCESS 0 local - 3
1594250131 stage_in_local_local_1_0 POST_SCRIPT_STARTED 11.0 local - 3
1594250132 stage_in_local_local_1_0 POST_SCRIPT_TERMINATED 11.0 local - 3
1594250137 stage_in_local_local_1_0 POST_SCRIPT_SUCCESS 0 local - 3
